arm_x,arm_y,arm_lower,arm_upper,bd3lm_x,bd3lm_y,bd3lm_lower,bd3lm_upper,mdlm_x,mdlm_y,mdlm_lower,mdlm_upper,niu_x,niu_y,niu_lower,niu_upper
32.34170854271357,32.30617072688422,31.33103625915555,33.281305194612884,32.34170854271357,30.597606316726132,30.078766689685615,31.11644594376665,32.34170854271357,33.437810289461986,32.721328396876345,34.15429218204763,32.34170854271357,32.98091040849686,32.12002515379385,33.841795663199875
32.8391959798995,32.31411026637864,31.34456807649656,33.283652456260725,32.8391959798995,30.64130354166501,30.125808762649996,31.156798320680025,32.8391959798995,33.49916530779411,32.78679235192231,34.21153826366591,32.8391959798995,33.00064133350182,32.144693151272044,33.85658951573159
33.336683417085425,32.32093015049444,31.35682489740765,33.28503540358123,33.336683417085425,30.684351104607913,30.172116531799876,31.19658567741595,33.336683417085425,33.55947193104011,32.85109377475122,34.267850087328995,33.336683417085425,33.01917576824468,32.168027517586104,33.870324018903254
33.834170854271356,32.3266497710747,31.36782611373191,33.28547342841749,33.834170854271356,30.726754774708468,30.217695766288884,31.23581378312805,33.834170854271356,33.618741944629186,32.91424445079226,34.32323943846611,33.834170854271356,33.03653231891835,32.190046858928945,33.88301777890775
34.33165829145729,32.33128851996251,31.377591117312427,33.2849859226126,34.33165829145729,30.7685203211203,30.262552235270643,31.274488406969954,34.33165829145729,33.67698713399055,32.97625616547465,34.37771810250645,34.33165829145729,33.05272959171576,32.21076978149349,33.89468940193803
34.82914572864321,32.334865789000965,31.38613929999229,33.28359227800964,34.82914572864321,30.80965351299703,30.30669170789878,31.312615318095283,34.82914572864321,33.734219284553404,33.03714070422759,34.43129786487922,34.82914572864321,33.06778619282983,32.23021489147266,33.905357494186994
35.32663316582914,32.337400970033144,31.393490053614585,33.281311886451704,35.32663316582914,30.85016011949229,30.350119953326917,31.350200285657664,35.32663316582914,33.79045018174695,33.09690985248028,34.483990511013616,35.32663316582914,33.081720728453476,32.248400795059375,33.91504066184758
35.824120603015075,32.33891345490214,31.399662770022402,33.27816413978188,35.824120603015075,30.890045909759703,30.39284274070868,31.387249078810726,35.824120603015075,33.84569161100038,33.15557539566192,34.535807826338846,35.824120603015075,33.09455180477963,32.26534609844656,33.9237575111127
36.321608040201006,32.33942263545105,31.40467684105884,33.27416842984326,36.321608040201006,30.929316652952892,30.4348658391977,31.423767466708085,36.321608040201006,33.89995535774291,33.21314911920171,34.58676159628411,36.321608040201006,33.10629802800119,32.28106940782712,33.931526648175264
36.81909547738693,32.338947903522964,31.40855165856699,33.269344148478936,36.81909547738693,30.96797811822549,30.476195017947596,31.45976121850338,36.81909547738693,33.95325320740374,33.269642808528864,34.63686360627862,36.81909547738693,33.11697800431109,32.295589329393984,33.9383666792282
37.31658291457286,32.33750865096096,31.41130661438993,33.263710687532,37.31658291457286,31.006036074731114,30.516836046111997,31.49523610335023,37.31658291457286,34.005596945412066,33.32506824907258,34.68612564175155,37.31658291457286,33.12661033990226,32.30892446934008,33.94429621046444
